"Weight(Kg)",Middle East,Great Britain,Western Europe,Rest of Asia,Greater China,New Zealand,USA & Canada,Rest of The World,AU,AE,SA
31.5,"104,441","109,808","115,686","126,315","130,973","148,156","137,008","185,810","108,043","57,023","95,117"
32.0,"104,594","109,959","115,839","126,468","131,126","148,309","137,161","185,963","108,196","57,175","95,270"
32.5,"106,849","112,512","118,450","129,264","134,034","151,467","140,916","190,557","111,383","59,186","97,162"
33.0,"107,000","112,665","118,602","129,417","134,187","151,619","141,068","190,710","111,536","59,337","97,315"
33.5,"109,255","115,217","121,213","132,215","137,096","154,778","144,823","195,305","114,723","61,348","99,207"
34.0,"109,407","115,370","121,366","132,366","137,249","154,930","144,976","195,458","114,876","61,500","99,360"
34.5,"111,662","117,922","123,977","135,164","140,158","158,089","148,730","200,053","118,064","63,510","101,253"
35.0,"111,815","118,075","124,130","135,317","140,311","158,241","148,883","200,206","118,217","63,663","101,406"
35.5,"114,124","120,682","126,796","138,168","143,275","161,455","152,692","204,855","121,459","65,727","103,353"
36.0,"114,277","120,835","126,949","138,321","143,428","161,607","152,845","205,008","121,612","65,880","103,506"
36.5,"116,531","123,387","129,559","141,117","146,336","164,766","156,599","209,604","124,799","67,890","105,398"
37.0,"116,684","123,540","129,712","141,270","146,489","164,918","156,752","209,756","124,952","68,043","105,551"
37.5,"118,938","126,092","132,323","144,066","149,398","168,077","160,507","214,352","128,140","70,052","107,444"
38.0,"119,090","126,245","132,475","144,219","149,551","168,229","160,659","214,504","128,292","70,205","107,595"
38.5,"121,344","128,797","135,087","147,016","152,460","171,388","164,414","219,099","131,480","72,215","109,489"
39.0,"121,497","128,950","135,240","147,169","152,613","171,540","164,567","219,252","131,633","72,368","109,641"
39.5,"123,751","131,502","137,850","149,965","155,521","174,699","168,321","223,847","134,820","74,378","111,533"
40.0,"123,904","131,655","138,003","150,118","155,674","174,851","168,474","224,000","134,973","74,531","111,686"
40.5,"126,213","134,262","140,669","152,969","158,639","178,065","172,283","228,649","138,216","76,595","113,634"
41.0,"126,366","134,415","140,822","153,122","158,792","178,217","172,436","228,802","138,368","76,748","113,786"
41.5,"128,620","136,967","143,432","155,918","161,700","181,376","176,190","233,397","141,556","78,758","115,679"
42.0,"128,773","137,119","143,585","156,071","161,853","181,528","176,343","233,550","141,709","78,911","115,832"
42.5,"131,027","139,673","146,197","158,869","164,762","184,687","180,098","238,146","144,896","80,920","117,724"
43.0,"131,179","139,824","146,348","159,020","164,914","184,839","180,250","238,297","145,049","81,073","117,877"
43.5,"133,433","142,377","148,960","161,818","167,824","187,998","184,005","242,893","148,236","83,083","119,770"
44.0,"133,586","142,529","149,113","161,971","167,977","188,150","184,158","243,046","148,389","83,236","119,922"
44.5,"135,841","145,082","151,723","164,767","170,885","191,308","187,912","247,641","151,577","85,246","121,815"
45.0,"135,993","145,235","151,876","164,920","171,038","191,461","188,065","247,794","151,730","85,399","121,968"
45.5,"138,358","147,897","154,597","167,826","174,057","194,729","191,929","252,498","155,027","87,518","123,970"
46.0,"138,510","148,050","154,750","167,979","174,210","194,882","192,082","252,651","155,180","87,671","124,123"
46.5,"140,765","150,602","157,361","170,775","177,119","198,040","195,836","257,246","158,367","89,681","126,016"
47.0,"140,918","150,755","157,513","170,928","177,272","198,193","195,989","257,399","158,520","89,834","126,168"
47.5,"143,172","153,307","160,125","173,725","180,181","201,351","199,744","261,994","161,708","91,843","128,061"
48.0,"143,325","153,460","160,277","173,878","180,333","201,504","199,896","262,147","161,861","91,996","128,214"
48.5,"145,578","156,012","162,888","176,674","183,242","204,662","203,651","266,741","165,048","94,006","130,106"
49.0,"145,731","156,165","163,041","176,827","183,395","204,815","203,804","266,894","165,201","94,159","130,259"
49.5,"147,985","158,717","165,651","179,623","186,304","207,973","207,558","271,490","168,388","96,169","132,151"
50.0,"148,138","158,870","165,804","179,776","186,457","208,126","207,711","271,642","168,541","96,322","132,304"
